MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538005955,2022-03-31T05:55:47,29.7475,-95.10412,3.7,90.0,302.0,NIPPON PRINCESS,IMO9380673,V7IK5,80.0,5.0,228.0,42.0,14.8,80.0,A
367127950,2022-03-31T03:38:31,39.99972,-73.69033,7.3,295.6,511.0,D & S EXPRESS,,WDD3256,30.0,,13.0,,,,B
367005270,2022-03-31T14:59:21,30.05855,-91.27603,0.0,240.1,314.0,C J BOYNE,IMO8975859,WDC3285,31.0,0.0,21.0,9.0,,0.0,A
367393020,2022-03-31T18:52:15,29.75787,-95.09697,0.0,16.1,81.0,EMMA M SAVAGE,,WDE7411,31.0,12.0,27.0,10.0,,57.0,A
366998090,2022-03-31T20:54:43,49.15529,-123.0057,0.0,225.0,65.0,MAUNA LOA,IMO5229704,WDC2819,31.0,0.0,36.0,8.0,4.1,32.0,A
218474000,2022-03-31T10:23:56,32.73076,-79.82613,14.3,298.7,298.0,ESSEN EXPRESS,IMO9501370,DCQP2,70.0,0.0,366.0,48.0,15.5,72.0,A
316005725,2022-03-31T11:28:01,49.31115,-123.10632,5.3,6.2,511.0,CHARLES H CATES V,,,31.0,5.0,17.0,7.0,2.4,52.0,A
369990395,2022-03-31T21:46:00,21.30788,-157.87379,0.0,0.0,511.0,CG29395,,CG29395,51.0,0.0,8.0,3.0,1.0,51.0,A
367163760,2022-03-31T20:27:56,29.32811,-94.77423,2.3,141.4,511.0,GIBB GILCHRIST,IMO8643171,WDJ3397,60.0,0.0,80.0,20.0,,60.0,A
477168600,2022-03-31T04:20:22,33.76168,-118.25237,0.0,130.5,246.0,CLIPPER SELO,IMO9543251,VRRU7,70.0,5.0,180.0,28.0,9.5,70.0,A
367473520,2022-03-31T05:34:51,36.20675,-76.71558,0.0,257.9,98.0,ISLAND PILOT,,WDF6368,31.0,12.0,19.0,7.0,,57.0,A
367705000,2022-03-31T16:18:29,47.65702,-122.36757,0.0,333.8,229.0,ROLLO,IMO7427489,WDI3959,30.0,8.0,28.0,7.0,,30.0,A
367636710,2022-03-31T22:24:20,39.26873,-76.58098,0.0,348.5,511.0,ERIC MCALLISTER,IMO9707493,WDH6317,31.0,0.0,29.0,10.0,,52.0,A
367418360,2022-03-31T11:30:07,48.51106,-122.64621,0.0,360.0,511.0,TURNING POINT,,WDE9534,37.0,,20.0,5.0,,,B
367612330,2022-03-31T23:06:22,29.14308,-90.21801,0.0,131.6,250.0,HOS BLACK WATCH,IMO9647710,WDH3922,90.0,0.0,95.0,19.0,6.4,70.0,A
367457870,2022-03-31T23:07:16,34.2424,-119.26397,0.0,360.0,511.0,SEA WAVE,IMO8885535,WDF4968,30.0,,23.0,6.0,,,B
477293900,2022-03-31T20:42:34,33.65505,-124.77245,14.9,76.9,72.0,CSCL SUMMER,IMO9645865,VRMZ7,70.0,0.0,335.0,48.0,15.0,71.0,A
367530150,2022-03-31T15:33:15,48.51425,-122.60807,0.0,207.1,511.0,TAHOMA,IMO0000000,,37.0,,11.0,4.0,,,B
477493100,2022-03-31T20:11:06,29.76215,-95.09098,0.0,318.2,45.0,JOSCO CHANGZHOU,IMO9458224,VRIH4,70.0,5.0,196.0,32.0,12.7,70.0,A
