MMSI,dark_events,last_position
205097000,1,2022-03-31 23:59:25+00:00
209316000,1,2022-03-31 22:01:04+00:00
209513000,1,2022-03-31 23:16:11+00:00
210786000,1,2022-03-31 20:03:50+00:00
211785580,1,2022-03-31 21:43:20+00:00
212275000,1,2022-03-31 23:51:57+00:00
212439000,1,2022-03-31 09:44:47+00:00
212790000,1,2022-03-31 22:32:24+00:00
215287000,1,2022-03-31 19:04:11+00:00
215478000,1,2022-03-31 15:22:52+00:00
215487000,1,2022-03-31 19:40:06+00:00
215685000,1,2022-03-31 09:32:45+00:00
215832000,1,2022-03-31 12:08:22+00:00
215936000,2,2022-03-31 22:36:30+00:00
219027133,1,2022-03-31 17:32:46+00:00
219028425,1,2022-03-31 20:40:19+00:00
227533980,1,2022-03-31 12:30:43+00:00
229685000,1,2022-03-31 23:59:54+00:00
232006316,1,2022-03-31 19:39:20+00:00
232027226,1,2022-03-31 11:14:44+00:00
232032457,1,2022-03-31 14:51:31+00:00
232039291,1,2022-03-31 09:02:08+00:00
234889000,1,2022-03-31 17:02:57+00:00
235106302,1,2022-03-31 20:00:28+00:00
236111902,1,2022-03-31 08:47:20+00:00
236112658,1,2022-03-31 18:19:02+00:00
236112682,1,2022-03-31 17:56:11+00:00
240991000,1,2022-03-31 14:33:38+00:00
241139000,1,2022-03-31 19:10:07+00:00
244040000,1,2022-03-31 12:56:26+00:00
244170635,1,2022-03-31 11:00:53+00:00
245953000,1,2022-03-31 08:48:05+00:00
246660000,1,2022-03-31 15:05:34+00:00
247282900,1,2022-03-31 18:16:45+00:00
248135000,1,2022-03-31 21:57:29+00:00
248152000,1,2022-03-31 13:14:04+00:00
248732000,1,2022-03-31 22:16:59+00:00
249347000,1,2022-03-31 16:25:00+00:00
255805676,1,2022-03-31 18:07:56+00:00
255805854,1,2022-03-31 14:17:02+00:00
255805869,1,2022-03-31 23:59:24+00:00
255806031,1,2022-03-31 23:01:12+00:00
257384000,1,2022-03-31 21:50:13+00:00
258018280,1,2022-03-31 11:38:53+00:00
258628000,1,2022-03-31 23:59:07+00:00
259099000,1,2022-03-31 23:30:13+00:00
261084080,1,2022-03-31 23:54:40+00:00
275508000,1,2022-03-31 19:39:02+00:00
300000000,1,2022-03-31 10:36:05+00:00
303366000,1,2022-03-31 13:06:11+00:00
303431000,1,2022-03-31 13:02:32+00:00
303533000,1,2022-03-31 20:31:20+00:00
304010937,1,2022-03-31 22:27:32+00:00
305146000,1,2022-03-31 19:56:28+00:00
306812000,1,2022-03-31 19:52:11+00:00
308017000,1,2022-03-31 18:16:03+00:00
308865000,1,2022-03-31 18:14:59+00:00
309822000,1,2022-03-31 20:06:41+00:00
310376000,1,2022-03-31 21:40:26+00:00
310380030,1,2022-03-31 22:47:54+00:00
311000251,1,2022-03-31 23:59:17+00:00
311000274,1,2022-03-31 22:02:29+00:00
311000346,1,2022-03-31 08:49:14+00:00
311000379,1,2022-03-31 19:34:57+00:00
311000421,1,2022-03-31 23:59:34+00:00
311000616,1,2022-03-31 20:21:48+00:00
311000617,1,2022-03-31 20:31:03+00:00
311000618,1,2022-03-31 20:06:19+00:00
311000746,1,2022-03-31 16:12:34+00:00
311000808,1,2022-03-31 22:38:47+00:00
311000879,1,2022-03-31 17:56:21+00:00
311001077,1,2022-03-31 21:11:33+00:00
311011500,1,2022-03-31 20:04:30+00:00
311492000,1,2022-03-31 21:33:53+00:00
311594000,1,2022-03-31 23:59:47+00:00
311929000,1,2022-03-31 20:18:36+00:00
311963000,1,2022-03-31 21:30:17+00:00
314447000,1,2022-03-31 06:55:27+00:00
