grid_cell,vessel_count,record_count
47.5_-122.5,668,244817
26.0_-80.5,628,165979
29.5_-95.5,492,269545
29.5_-90.5,473,298718
33.5_-118.5,470,163907
29.0_-95.0,445,195388
49.0_-123.5,408,140422
25.5_-80.5,403,133987
26.5_-80.5,371,95781
32.5_-117.5,341,111277
37.5_-122.5,315,117770
18.0_-65.0,315,51393
29.0_-90.5,295,99628
48.5_-123.5,294,65382
40.5_-74.5,284,138666
48.5_-123.0,271,79954
36.5_-76.5,240,111906
29.5_-90.0,238,99194
29.5_-95.0,235,35817
27.5_-83.0,224,76038
30.0_-91.0,216,137739
29.5_-94.0,194,101958
30.0_-91.5,189,134668
47.5_-123.0,180,44559
29.5_-91.0,178,55378
27.5_-97.5,177,106965
40.5_-74.0,169,47457
48.0_-123.0,153,40504
45.5_-123.0,153,64398
48.0_-123.5,145,35629
49.0_-123.0,140,40682
37.0_-76.5,135,27406
29.5_-91.5,130,72063
49.0_-124.0,127,21720
30.0_-93.5,125,62558
38.5_-76.5,125,38376
29.0_-89.5,124,54026
38.5_-90.5,122,86698
24.5_-82.0,121,40205
34.0_-119.5,119,37745
30.0_-89.0,119,55833
47.0_-122.5,119,41179
41.5_-71.0,118,26106
32.5_-80.0,117,45402
30.0_-94.0,110,30750
47.0_-123.0,109,32993
21.0_-158.0,109,41834
28.0_-81.0,104,37987
30.0_-88.5,100,24537
29.0_-90.0,99,35978
37.0_-89.0,99,32837
33.5_-118.0,99,21577
30.5_-88.5,98,60418
30.0_-90.5,94,13452
28.5_-95.5,90,43064
39.0_-77.0,86,42131
29.5_-94.5,84,22472
32.0_-81.5,84,42277
30.0_-82.0,81,33575
29.5_-92.5,81,38644
30.0_-88.0,81,19245
28.5_-89.5,80,17356
27.0_-83.0,79,25368
29.0_-94.5,78,8560
25.0_-80.5,78,20548
32.0_-81.0,77,18153
27.5_-82.5,77,31947
36.5_-89.5,74,11364
39.5_-75.5,71,35196
46.0_-124.0,69,30193
37.0_-88.5,69,22736
25.5_-80.0,68,7840
48.5_-124.0,68,9703
39.5_-76.0,68,21372
29.5_-93.5,66,25844
35.0_-90.5,66,35038
18.0_-66.0,65,19838
28.5_-94.5,65,9383
28.5_-90.5,65,6596
29.5_-81.5,64,7925
30.0_-81.5,64,19594
41.0_-72.0,62,7406
42.0_-71.5,62,25020
22.0_-98.0,59,3662
33.0_-118.0,59,14560
34.0_-120.0,59,8997
39.0_-76.5,58,15352
29.5_-92.0,57,24162
26.0_-79.5,56,4624
34.0_-78.0,56,28580
27.0_-80.5,56,6620
40.0_-74.5,56,13741
38.0_-90.5,56,31536
41.5_-71.5,55,22181
31.0_-81.5,55,17810
28.0_-96.5,53,6400
30.5_-91.5,53,19776
34.5_-77.0,53,20572
37.0_-89.5,53,14033
25.0_-80.0,53,5244
