MMSI,mean_speed,std_speed,min_speed,max_speed,n_fixes
200000000,3.9366133,2.011238,0.0,6.5,437
203246362,7.5571427,3.8830829,0.9,14.0,49
203617400,2.1399999,2.897955,0.1,8.5,85
203875200,8.906871,1.3764609,5.9,12.4,131
205086000,0.14485714,0.19917986,0.0,1.3,350
205097000,15.884269,0.12693848,15.6,16.3,89
205760000,6.9964285,0.11049421,6.8,7.2,28
205809010,6.8199997,0.5069516,6.3,7.6,5
205847610,0.41886795,0.66706365,0.0,5.1,106
207832820,0.053108808,0.057236567,0.0,0.4,386
209087000,7.351678,4.8858366,0.0,11.5,745
209136000,0.0,0.0,0.0,0.0,416
209156000,11.964788,0.6653488,10.1,12.9,497
209182000,1.6336595,3.190587,0.0,10.0,511
209254000,0.60402685,0.25539666,0.0,1.4,596
209289000,0.37244898,0.24274233,0.1,1.3,98
209316000,10.198334,4.053435,0.0,13.4,60
209470000,4.558716,5.817086,0.0,13.0,545
209504000,0.0,0.0,0.0,0.0,3
209513000,10.360975,13.280887,0.0,30.2,410
209550000,3.0231054,4.6400714,0.0,14.2,541
209613000,10.222097,2.647991,0.0,13.3,982
209615000,0.04726841,0.055834763,0.0,0.3,421
209641000,5.5070176,0.48911715,4.2,6.4,57
209716000,4.04202,6.53941,0.0,16.0,802
209729000,14.166667,0.25166115,13.9,14.4,3
209795000,2.274074,0.39011106,1.3,3.6,459
209798000,0.017201167,0.05210519,0.0,0.3,343
209862000,14.21415,0.83807474,12.4,15.7,106
209888000,11.276895,0.2895146,10.4,12.0,805
210065000,0.0,0.0,0.0,0.0,28
210080000,0.88547766,2.2884789,0.0,9.0,785
210107000,10.901112,0.4246997,9.9,11.8,540
210195000,4.424752,5.060763,0.0,15.1,606
210217000,0.53333336,0.11547007,0.4,0.6,3
210296000,10.75,0.07071095,10.7,10.8,2
210303000,0.0066339066,0.025887616,0.0,0.2,407
210347000,0.03185012,0.05278263,0.0,0.3,427
210361000,0.00625,0.024593469,0.0,0.1,32
210581000,12.994218,0.6583475,10.5,14.2,467
210684000,0.0014492754,0.021958051,0.0,0.4,414
210786000,0.17,0.22632328,0.0,0.8,10
210959000,6.9676814,5.8447957,0.0,13.2,690
211002010,0.56097084,3.7288928,0.0,35.4,515
211105410,0.2,,0.2,0.2,1
211223160,4.961446,1.1958089,0.8,7.4,83
211256150,0.65,0.35355335,0.4,0.9,2
211331640,0.0,0.0,0.0,0.0,329
211334250,0.00625,0.024236461,0.0,0.1,400
211518890,0.0053908355,0.022614175,0.0,0.1,371
211549000,17.983334,0.1722408,17.8,18.2,6
211605910,0.111363634,0.0921977,0.0,0.4,220
211664910,0.0,0.0,0.0,0.0,429
211705870,0.03957346,0.055335797,0.0,0.5,422
211711990,2.6054409,2.8155897,0.0,8.6,533
211723180,0.024519231,0.04417664,0.0,0.2,416
211743730,0.2875,0.14384536,0.0,0.6,48
211785580,0.42624116,0.24308887,0.0,1.2,141
211835930,0.25950617,0.1847925,0.0,1.3,405
211839000,0.19426607,0.16536734,0.0,0.8,436
212040000,12.389189,0.71483636,9.8,14.1,37
212175000,0.02137592,0.04338025,0.0,0.2,407
212210000,0.03530806,0.048832204,0.0,0.2,422
212254000,9.026557,4.267326,0.0,13.0,851
212259000,,,,,0
212275000,12.21875,0.2482439,11.8,12.6,16
212282000,0.043778803,0.091790035,0.0,0.9,434
212347000,0.039036147,0.05125513,0.0,0.2,415
212352000,0.0,0.0,0.0,0.0,7
212439000,11.845988,0.597948,8.7,12.8,648
212790000,16.297745,2.744778,11.2,18.5,266
212960000,11.098684,0.6724073,9.2,13.0,76
214182695,5.414754,2.6678305,0.0,11.1,610
214182763,0.335,0.14298734,0.0,0.6,120
214182782,8.80862,0.28975758,8.1,9.5,58
215000629,0.06657682,0.07614979,0.0,0.5,371
215077000,11.596774,7.088468,0.1,20.8,403
215105000,20.388557,0.5426802,18.0,21.4,437
215137000,0.970615,3.0393653,0.0,14.4,439
215154000,0.43558824,1.5053096,0.0,10.0,340
215164000,2.7526317,2.7955217,0.5,9.0,684
215192000,13.179532,0.23810972,12.2,13.7,171
215219000,9.001697,1.7313417,5.8,12.2,1061
215225000,0.0,0.0,0.0,0.0,422
215249000,21.586666,0.16417176,21.2,21.8,15
215287000,9.169642,0.22637029,8.4,10.5,56
215347000,11.954545,2.8725624,5.3,17.3,264
215390000,0.614507,0.7296275,0.0,3.8,710
215464000,0.024285715,0.042942338,0.0,0.1,350
215478000,9.634,5.482299,0.0,13.6,100
215487000,0.12951808,0.10969272,0.0,0.6,166
215539000,0.020192308,0.38348556,0.0,7.8,416
215561000,6.8649426,3.0729752,0.0,14.6,870
215583000,19.065014,0.40455177,18.2,19.9,363
215590000,0.00023696682,0.004867924,0.0,0.1,422
215596000,0.036724567,0.055460006,0.0,0.2,403
215639000,7.94901,5.0343184,0.0,12.7,808
215685000,15.882707,0.6728728,14.4,18.1,665
215762000,10.9822,0.8431403,7.2,12.1,691
215798000,3.5966184,3.8760853,0.0,9.4,621
215801000,3.5118237,5.7704864,0.0,15.8,499
215804000,9.541245,5.6766024,0.0,14.8,851
215832000,7.490022,1.2205145,4.6,11.4,451
